Date,Close
2024-01-01,
2024-01-02,49.64
2024-01-03,48.44
2024-01-04,48.42
2024-01-05,48.26
2024-01-06,
2024-01-07,
2024-01-08,48.76
2024-01-09,48.39
2024-01-10,48.73
2024-01-11,48.71
2024-01-12,48.89
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,48.69
2024-01-17,48.47
2024-01-18,49.04
2024-01-19,49.2
2024-01-20,
2024-01-21,
2024-01-22,50.05
2024-01-23,49.53
2024-01-24,49.23
2024-01-25,49.14
2024-01-26,49.37
2024-01-27,
2024-01-28,
2024-01-29,50.0
2024-01-30,50.17
2024-01-31,49.45
2024-02-01,50.17
2024-02-02,50.32
2024-02-03,
2024-02-04,
2024-02-05,49.67
2024-02-06,49.77
2024-02-07,50.02
2024-02-08,50.51
2024-02-09,51.11
2024-02-10,
2024-02-11,
2024-02-12,51.38
2024-02-13,49.87
2024-02-14,50.79
2024-02-15,51.64
2024-02-16,51.32
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,50.84
2024-02-21,50.88
2024-02-22,51.92
2024-02-23,52.2
2024-02-24,
2024-02-25,
2024-02-26,52.22
2024-02-27,52.45
2024-02-28,53.02
2024-02-29,52.88
2024-03-01,52.94
2024-03-02,
2024-03-03,
2024-03-04,53.18
2024-03-05,52.9
2024-03-06,53.08
2024-03-07,53.35
2024-03-08,53.11
2024-03-09,
2024-03-10,
2024-03-11,52.74
2024-03-12,52.62
2024-03-13,52.62
2024-03-14,52.25
2024-03-15,52.47
2024-03-16,
2024-03-17,
2024-03-18,52.27
2024-03-19,52.76
2024-03-20,53.23
2024-03-21,53.89
2024-03-22,53.48
2024-03-23,
2024-03-24,
2024-03-25,53.15
2024-03-26,53.32
2024-03-27,54.08
2024-03-28,54.32
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,53.75
2024-04-02,53.02
2024-04-03,53.22
2024-04-04,52.71
2024-04-05,52.96
2024-04-06,
2024-04-07,
2024-04-08,53.04
2024-04-09,52.82
2024-04-10,51.68
2024-04-11,51.57
2024-04-12,51.57
2024-04-13,
2024-04-14,
2024-04-15,50.67
2024-04-16,50.54
2024-04-17,49.94
2024-04-18,49.91
2024-04-19,50.35
2024-04-20,
2024-04-21,
2024-04-22,50.74
2024-04-23,50.93
2024-04-24,50.69
2024-04-25,50.34
2024-04-26,50.41
2024-04-27,
2024-04-28,
2024-04-29,50.74
2024-04-30,50.03
2024-05-01,50.15
2024-05-02,50.82
2024-05-03,51.25
2024-05-04,
2024-05-05,
2024-05-06,51.95
2024-05-07,52.02
2024-05-08,52.06
2024-05-09,52.53
2024-05-10,52.6
2024-05-11,
2024-05-12,
2024-05-13,52.39
2024-05-14,52.81
2024-05-15,53.35
2024-05-16,52.75
2024-05-17,53.04
2024-05-18,
2024-05-19,
2024-05-20,53.45
2024-05-21,53.29
2024-05-22,53.12
2024-05-23,52.48
2024-05-24,52.89
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,51.92
2024-05-29,51.24
2024-05-30,51.57
2024-05-31,51.57
2024-06-01,
2024-06-02,
2024-06-03,51.29
2024-06-04,50.91
2024-06-05,51.4
2024-06-06,51.5
2024-06-07,51.3
2024-06-08,
2024-06-09,
2024-06-10,51.21
2024-06-11,50.94
2024-06-12,51.65
2024-06-13,51.4
2024-06-14,50.9
2024-06-15,
2024-06-16,
2024-06-17,51.45
2024-06-18,51.75
2024-06-19,
2024-06-20,51.69
2024-06-21,51.75
2024-06-22,
2024-06-23,
2024-06-24,52.08
2024-06-25,51.5
2024-06-26,51.3
2024-06-27,51.71
2024-06-28,51.66
2024-06-29,
2024-06-30,
2024-07-01,51.09
2024-07-02,51.26
2024-07-03,51.49
2024-07-04,
2024-07-05,51.13
2024-07-06,
2024-07-07,
2024-07-08,51.25
2024-07-09,50.84
2024-07-10,51.46
2024-07-11,52.62
2024-07-12,53.33
2024-07-13,
2024-07-14,
2024-07-15,53.94
2024-07-16,55.6
2024-07-17,54.92
2024-07-18,54.5
2024-07-19,54.2
2024-07-20,
2024-07-21,
2024-07-22,54.88
2024-07-23,54.96
2024-07-24,54.22
2024-07-25,54.99
2024-07-26,56.05
2024-07-27,
2024-07-28,
2024-07-29,55.72
2024-07-30,56.18
2024-07-31,56.04
2024-08-01,55.0
2024-08-02,53.86
2024-08-03,
2024-08-04,
2024-08-05,52.55
2024-08-06,52.99
2024-08-07,52.68
2024-08-08,53.45
2024-08-09,53.35
2024-08-10,
2024-08-11,
2024-08-12,52.83
2024-08-13,53.53
2024-08-14,53.77
2024-08-15,54.5
2024-08-16,54.41
2024-08-17,
2024-08-18,
2024-08-19,54.66
2024-08-20,54.26
2024-08-21,54.98
2024-08-22,54.72
2024-08-23,55.77
2024-08-24,
2024-08-25,
2024-08-26,55.62
2024-08-27,55.34
2024-08-28,55.4
2024-08-29,55.7
2024-08-30,56.12
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,54.91
2024-09-04,54.94
2024-09-05,54.29
2024-09-06,53.81
2024-09-07,
2024-09-08,
2024-09-09,54.21
2024-09-10,54.35
2024-09-11,54.43
2024-09-12,54.84
2024-09-13,55.78
2024-09-14,
2024-09-15,
2024-09-16,56.29
2024-09-17,56.58
2024-09-18,56.56
2024-09-19,57.9
2024-09-20,57.4
2024-09-21,
2024-09-22,
2024-09-23,57.72
2024-09-24,57.86
2024-09-25,57.37
2024-09-26,57.59
2024-09-27,57.57
2024-09-28,
2024-09-29,
2024-09-30,57.65
2024-10-01,57.3
2024-10-02,57.09
2024-10-03,56.84
2024-10-04,57.21
2024-10-05,
2024-10-06,
2024-10-07,56.85
2024-10-08,57.06
2024-10-09,57.46
2024-10-10,56.9
2024-10-11,57.8
2024-10-12,
2024-10-13,
2024-10-14,58.13
2024-10-15,58.23
2024-10-16,58.68
2024-10-17,58.79
2024-10-18,58.43
2024-10-19,
2024-10-20,
2024-10-21,57.72
2024-10-22,57.14
2024-10-23,56.66
2024-10-24,56.4
2024-10-25,55.93
2024-10-26,
2024-10-27,
2024-10-28,56.37
2024-10-29,56.3
2024-10-30,56.22
2024-10-31,55.74
2024-11-01,56.21
2024-11-02,
2024-11-03,
2024-11-04,56.47
2024-11-05,57.47
2024-11-06,60.48
2024-11-07,60.68
2024-11-08,61.1
2024-11-09,
2024-11-10,
2024-11-11,61.58
2024-11-12,60.81
2024-11-13,60.46
2024-11-14,60.22
2024-11-15,59.88
2024-11-16,
2024-11-17,
2024-11-18,60.05
2024-11-19,60.01
2024-11-20,59.98
2024-11-21,60.75
2024-11-22,61.48
2024-11-23,
2024-11-24,
2024-11-25,62.46
2024-11-26,62.18
2024-11-27,61.78
2024-11-28,
2024-11-29,61.78
2024-11-30,
2024-12-01,
2024-12-02,61.78
2024-12-03,61.6
2024-12-04,61.78
2024-12-05,61.31
2024-12-06,61.38
2024-12-07,
2024-12-08,
2024-12-09,61.23
2024-12-10,61.09
2024-12-11,61.3
2024-12-12,61.02
2024-12-13,60.54
2024-12-14,
2024-12-15,
2024-12-16,60.58
2024-12-17,59.59
2024-12-18,57.64
2024-12-19,57.55
2024-12-20,57.81
2024-12-21,
2024-12-22,
2024-12-23,57.65
2024-12-24,58.05
2024-12-25,
2024-12-26,58.2
2024-12-27,57.64
2024-12-28,
2024-12-29,
2024-12-30,57.21
2024-12-31,57.2
2025-01-01,
2025-01-02,56.89
2025-01-03,57.51
2025-01-04,
2025-01-05,
2025-01-06,57.19
2025-01-07,56.68
2025-01-08,56.81
2025-01-09,
2025-01-10,55.85
2025-01-11,
2025-01-12,
2025-01-13,56.31
2025-01-14,57.36
2025-01-15,57.93
2025-01-16,58.39
2025-01-17,58.5
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,59.52
2025-01-22,59.15
2025-01-23,58.98
2025-01-24,58.82
2025-01-25,
2025-01-26,
2025-01-27,58.66
2025-01-28,58.67
2025-01-29,57.69
2025-01-30,58.11
2025-01-31,57.99
2025-02-01,
2025-02-02,
2025-02-03,57.64
2025-02-04,58.07
2025-02-05,58.59
2025-02-06,58.51
2025-02-07,57.91
2025-02-08,
2025-02-09,
2025-02-10,57.79
2025-02-11,58.07
2025-02-12,57.29
2025-02-13,57.67
2025-02-14,57.75
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,58.3
2025-02-19,58.07
2025-02-20,57.19
2025-02-21,56.34
2025-02-22,
2025-02-23,
2025-02-24,56.05
2025-02-25,56.51
2025-02-26,56.42
2025-02-27,55.92
2025-02-28,56.57
2025-03-01,
2025-03-02,
2025-03-03,55.9
2025-03-04,55.1
2025-03-05,55.76
2025-03-06,55.58
2025-03-07,55.9
2025-03-08,
2025-03-09,
2025-03-10,55.27
2025-03-11,54.39
2025-03-12,53.85
2025-03-13,53.24
2025-03-14,54.35
2025-03-15,
2025-03-16,
2025-03-17,54.76
2025-03-18,54.35
2025-03-19,54.59
2025-03-20,54.3
2025-03-21,53.98
2025-03-22,
2025-03-23,
2025-03-24,55.16
2025-03-25,55.13
2025-03-26,55.02
2025-03-27,54.92
2025-03-28,54.05
2025-03-29,
2025-03-30,
2025-03-31,54.28
2025-04-01,54.53
2025-04-02,55.01
2025-04-03,52.02
2025-04-04,50.36
2025-04-05,
2025-04-06,
2025-04-07,49.58
2025-04-08,48.84
2025-04-09,52.52
2025-04-10,51.15
2025-04-11,51.88
2025-04-12,
2025-04-13,
2025-04-14,52.32
2025-04-15,52.33
2025-04-16,51.55
2025-04-17,51.78
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,50.68
2025-04-22,51.92
2025-04-23,52.43
2025-04-24,52.91
2025-04-25,52.53
2025-04-26,
2025-04-27,
2025-04-28,52.64
2025-04-29,52.77
2025-04-30,52.5
2025-05-01,52.64
2025-05-02,53.71
2025-05-03,
2025-05-04,
2025-05-05,53.37
2025-05-06,53.07
2025-05-07,53.07
2025-05-08,54.42
2025-05-09,54.35
2025-05-10,
2025-05-11,
2025-05-12,56.13
2025-05-13,56.19
2025-05-14,55.82
2025-05-15,56.17
2025-05-16,56.74
2025-05-17,
2025-05-18,
2025-05-19,56.75
2025-05-20,56.53
2025-05-21,55.2
2025-05-22,55.13
2025-05-23,54.76
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,55.85
2025-05-28,55.02
2025-05-29,55.3
2025-05-30,55.26
2025-05-31,
2025-06-01,
2025-06-02,54.96
2025-06-03,55.51
2025-06-04,55.5
2025-06-05,55.32
2025-06-06,55.56
2025-06-07,
2025-06-08,
2025-06-09,55.48
2025-06-10,55.67
2025-06-11,55.27
2025-06-12,55.23
2025-06-13,54.36
2025-06-14,
2025-06-15,
2025-06-16,54.75
2025-06-17,54.21
2025-06-18,54.37
2025-06-19,
2025-06-20,54.27
2025-06-21,
2025-06-22,
2025-06-23,55.34
2025-06-24,55.83
2025-06-25,55.3
2025-06-26,55.79
2025-06-27,55.97
2025-06-28,
2025-06-29,
2025-06-30,56.04
2025-07-01,57.05
2025-07-02,57.35
2025-07-03,57.62
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,57.03
2025-07-08,57.28
2025-07-09,57.63
2025-07-10,57.93
2025-07-11,57.32
2025-07-12,
2025-07-13,
2025-07-14,57.26
2025-07-15,56.22
2025-07-16,56.65
2025-07-17,57.33
2025-07-18,57.13
2025-07-19,
2025-07-20,
2025-07-21,56.71
2025-07-22,57.23
2025-07-23,57.67
2025-07-24,57.38
2025-07-25,57.8
2025-07-26,
2025-07-27,
2025-07-28,57.59
2025-07-29,57.82
2025-07-30,57.57
2025-07-31,57.12
2025-08-01,56.44
2025-08-02,
2025-08-03,
2025-08-04,57.18
2025-08-05,57.34
2025-08-06,57.31
2025-08-07,57.06
2025-08-08,56.89
2025-08-09,
2025-08-10,
2025-08-11,56.89
2025-08-12,58.19
2025-08-13,59.28
2025-08-14,58.48
2025-08-15,57.81
2025-08-16,
2025-08-17,
