Date,Close
2020-01-01,
2020-01-02,46.57
2020-01-03,46.28
2020-01-04,
2020-01-05,
2020-01-06,46.0
2020-01-07,45.62
2020-01-08,45.76
2020-01-09,45.68
2020-01-10,45.48
2020-01-11,
2020-01-12,
2020-01-13,45.15
2020-01-14,42.71
2020-01-15,41.86
2020-01-16,42.67
2020-01-17,42.61
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,42.4
2020-01-22,42.07
2020-01-23,41.78
2020-01-24,41.21
2020-01-25,
2020-01-26,
2020-01-27,40.81
2020-01-28,41.04
2020-01-29,40.95
2020-01-30,41.51
2020-01-31,40.67
2020-02-01,
2020-02-02,
2020-02-03,40.82
2020-02-04,40.94
2020-02-05,41.85
2020-02-06,42.01
2020-02-07,41.89
2020-02-08,
2020-02-09,
2020-02-10,41.83
2020-02-11,42.02
2020-02-12,41.84
2020-02-13,42.13
2020-02-14,42.22
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,41.14
2020-02-19,41.23
2020-02-20,41.45
2020-02-21,41.77
2020-02-22,
2020-02-23,
2020-02-24,40.62
2020-02-25,39.51
2020-02-26,38.65
2020-02-27,37.19
2020-02-28,35.77
2020-02-29,
2020-03-01,
2020-03-02,37.0
2020-03-03,35.49
2020-03-04,36.25
2020-03-05,34.06
2020-03-06,32.48
2020-03-07,
2020-03-08,
2020-03-09,28.44
2020-03-10,30.72
2020-03-11,28.31
2020-03-12,23.82
2020-03-13,27.05
2020-03-14,
2020-03-15,
2020-03-16,23.2
2020-03-17,25.94
2020-03-18,24.62
2020-03-19,24.77
2020-03-20,23.2
2020-03-21,
2020-03-22,
2020-03-23,22.11
2020-03-24,25.32
2020-03-25,25.37
2020-03-26,27.06
2020-03-27,26.51
2020-03-28,
2020-03-29,
2020-03-30,26.2
2020-03-31,25.13
2020-04-01,23.26
2020-04-02,23.83
2020-04-03,22.97
2020-04-04,
2020-04-05,
2020-04-06,25.07
2020-04-07,25.19
2020-04-08,26.51
2020-04-09,29.07
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,27.52
2020-04-14,26.43
2020-04-15,24.9
2020-04-16,23.54
2020-04-17,24.85
2020-04-18,
2020-04-19,
2020-04-20,24.24
2020-04-21,23.5
2020-04-22,23.47
2020-04-23,23.23
2020-04-24,23.57
2020-04-25,
2020-04-26,
2020-04-27,24.88
2020-04-28,25.28
2020-04-29,26.27
2020-04-30,25.44
2020-05-01,24.16
2020-05-02,
2020-05-03,
2020-05-04,23.95
2020-05-05,23.05
2020-05-06,22.42
2020-05-07,22.54
2020-05-08,22.72
2020-05-09,
2020-05-10,
2020-05-11,22.14
2020-05-12,21.48
2020-05-13,20.13
2020-05-14,21.49
2020-05-15,20.87
2020-05-16,
2020-05-17,
2020-05-18,22.7
2020-05-19,21.4
2020-05-20,21.91
2020-05-21,21.85
2020-05-22,21.59
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,23.46
2020-05-27,24.97
2020-05-28,24.32
2020-05-29,23.65
2020-05-30,
2020-05-31,
2020-06-01,24.2
2020-06-02,24.48
2020-06-03,25.76
2020-06-04,27.0
2020-06-05,28.29
2020-06-06,
2020-06-07,
2020-06-08,29.77
2020-06-09,29.15
2020-06-10,26.54
2020-06-11,23.93
2020-06-12,24.99
2020-06-13,
2020-06-14,
2020-06-15,25.2
2020-06-16,25.48
2020-06-17,24.52
2020-06-18,24.61
2020-06-19,24.66
2020-06-20,
2020-06-21,
2020-06-22,24.43
2020-06-23,24.33
2020-06-24,23.34
2020-06-25,24.45
2020-06-26,22.64
2020-06-27,
2020-06-28,
2020-06-29,22.96
2020-06-30,22.87
2020-07-01,22.42
2020-07-02,22.64
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,22.77
2020-07-07,21.85
2020-07-08,21.93
2020-07-09,21.48
2020-07-10,22.75
2020-07-11,
2020-07-12,
2020-07-13,22.7
