Date,Close
2024-01-01,
2024-01-02,45.86
2024-01-03,45.0
2024-01-04,44.89
2024-01-05,44.92
2024-01-06,
2024-01-07,
2024-01-08,45.59
2024-01-09,45.56
2024-01-10,45.94
2024-01-11,46.0
2024-01-12,46.0
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,45.75
2024-01-17,45.37
2024-01-18,45.73
2024-01-19,46.13
2024-01-20,
2024-01-21,
2024-01-22,46.21
2024-01-23,46.22
2024-01-24,46.05
2024-01-25,46.31
2024-01-26,46.4
2024-01-27,
2024-01-28,
2024-01-29,46.84
2024-01-30,46.78
2024-01-31,46.05
2024-02-01,46.94
2024-02-02,47.34
2024-02-03,
2024-02-04,
2024-02-05,46.93
2024-02-06,47.26
2024-02-07,47.45
2024-02-08,47.52
2024-02-09,47.85
2024-02-10,
2024-02-11,
2024-02-12,47.78
2024-02-13,46.94
2024-02-14,47.64
2024-02-15,47.97
2024-02-16,47.7
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,47.39
2024-02-21,47.65
2024-02-22,48.49
2024-02-23,48.57
2024-02-24,
2024-02-25,
2024-02-26,48.47
2024-02-27,48.5
2024-02-28,48.91
2024-02-29,49.0
2024-03-01,49.34
2024-03-02,
2024-03-03,
2024-03-04,49.21
2024-03-05,48.67
2024-03-06,48.8
2024-03-07,49.16
2024-03-08,49.0
2024-03-09,
2024-03-10,
2024-03-11,48.96
2024-03-12,49.25
2024-03-13,49.33
2024-03-14,49.16
2024-03-15,48.81
2024-03-16,
2024-03-17,
2024-03-18,48.82
2024-03-19,49.3
2024-03-20,49.56
2024-03-21,49.93
2024-03-22,49.61
2024-03-23,
2024-03-24,
2024-03-25,49.36
2024-03-26,49.21
2024-03-27,49.75
2024-03-28,49.75
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,49.32
2024-04-02,49.04
2024-04-03,49.11
2024-04-04,48.66
2024-04-05,49.24
2024-04-06,
2024-04-07,
2024-04-08,49.27
2024-04-09,49.29
2024-04-10,48.58
2024-04-11,48.81
2024-04-12,48.06
2024-04-13,
2024-04-14,
2024-04-15,47.6
2024-04-16,47.5
2024-04-17,47.18
2024-04-18,47.0
2024-04-19,46.73
2024-04-20,
2024-04-21,
2024-04-22,47.09
2024-04-23,47.72
2024-04-24,47.76
2024-04-25,47.41
2024-04-26,47.68
2024-04-27,
2024-04-28,
2024-04-29,47.81
2024-04-30,46.86
2024-05-01,46.73
2024-05-02,47.23
2024-05-03,47.68
2024-05-04,
2024-05-05,
2024-05-06,48.34
2024-05-07,48.35
2024-05-08,48.31
2024-05-09,48.7
2024-05-10,48.73
2024-05-11,
2024-05-12,
2024-05-13,48.53
2024-05-14,48.75
2024-05-15,49.21
2024-05-16,49.24
2024-05-17,49.26
2024-05-18,
2024-05-19,
2024-05-20,49.23
2024-05-21,49.26
2024-05-22,49.13
2024-05-23,48.64
2024-05-24,49.03
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,48.49
2024-05-29,48.15
2024-05-30,47.94
2024-05-31,48.3
2024-06-01,
2024-06-02,
2024-06-03,48.53
2024-06-04,48.55
2024-06-05,49.09
2024-06-06,49.17
2024-06-07,49.13
2024-06-08,
2024-06-09,
2024-06-10,49.29
2024-06-11,49.16
2024-06-12,49.4
2024-06-13,49.26
2024-06-14,49.03
2024-06-15,
2024-06-16,
2024-06-17,49.42
2024-06-18,49.48
2024-06-19,
2024-06-20,49.57
2024-06-21,49.93
2024-06-22,
2024-06-23,
2024-06-24,49.8
2024-06-25,49.57
2024-06-26,49.38
2024-06-27,49.49
2024-06-28,49.27
2024-06-29,
2024-06-30,
2024-07-01,49.22
2024-07-02,49.52
2024-07-03,49.48
2024-07-04,
2024-07-05,49.76
2024-07-06,
2024-07-07,
2024-07-08,49.61
2024-07-09,49.58
2024-07-10,49.75
2024-07-11,50.2
2024-07-12,50.56
2024-07-13,
2024-07-14,
2024-07-15,50.38
2024-07-16,50.65
2024-07-17,49.97
2024-07-18,49.56
2024-07-19,49.22
2024-07-20,
2024-07-21,
2024-07-22,50.05
2024-07-23,49.96
2024-07-24,48.89
2024-07-25,48.83
2024-07-26,49.53
2024-07-27,
2024-07-28,
2024-07-29,49.48
2024-07-30,49.55
2024-07-31,49.97
2024-08-01,49.84
2024-08-02,48.9
2024-08-03,
2024-08-04,
