Date,Close
2020-01-01,
2020-01-02,33.41
2020-01-03,33.09
2020-01-04,
2020-01-05,
2020-01-06,33.16
2020-01-07,33.14
2020-01-08,33.35
2020-01-09,33.61
2020-01-10,33.56
2020-01-11,
2020-01-12,
2020-01-13,33.8
2020-01-14,33.79
2020-01-15,33.89
2020-01-16,34.41
2020-01-17,34.51
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,34.42
2020-01-22,34.57
2020-01-23,34.52
2020-01-24,34.2
2020-01-25,
2020-01-26,
2020-01-27,33.73
2020-01-28,34.06
2020-01-29,34.11
2020-01-30,34.06
2020-01-31,33.35
2020-02-01,
2020-02-02,
2020-02-03,33.9
2020-02-04,34.49
2020-02-05,34.74
2020-02-06,34.92
2020-02-07,34.7
2020-02-08,
2020-02-09,
2020-02-10,34.86
2020-02-11,34.91
2020-02-12,35.25
2020-02-13,35.24
2020-02-14,35.35
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,35.24
2020-02-19,35.38
2020-02-20,35.33
2020-02-21,34.77
2020-02-22,
2020-02-23,
2020-02-24,33.56
2020-02-25,32.43
2020-02-26,32.42
2020-02-27,31.24
2020-02-28,30.98
2020-02-29,
2020-03-01,
2020-03-02,32.46
2020-03-03,31.38
2020-03-04,32.54
2020-03-05,31.31
2020-03-06,30.85
2020-03-07,
2020-03-08,
2020-03-09,28.64
2020-03-10,30.01
2020-03-11,28.67
2020-03-12,26.0
2020-03-13,28.37
2020-03-14,
2020-03-15,
2020-03-16,24.54
2020-03-17,25.84
2020-03-18,24.29
2020-03-19,24.47
2020-03-20,23.47
2020-03-21,
2020-03-22,
2020-03-23,22.56
2020-03-24,24.95
2020-03-25,25.77
2020-03-26,27.23
2020-03-27,26.12
2020-03-28,
2020-03-29,
2020-03-30,27.18
2020-03-31,26.63
2020-04-01,25.45
2020-04-02,25.78
2020-04-03,25.33
2020-04-04,
2020-04-05,
2020-04-06,27.65
2020-04-07,27.71
2020-04-08,28.83
2020-04-09,29.21
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,28.69
2020-04-14,29.54
2020-04-15,28.81
2020-04-16,29.01
2020-04-17,29.97
2020-04-18,
2020-04-19,
2020-04-20,29.3
2020-04-21,28.31
2020-04-22,29.17
2020-04-23,29.14
2020-04-24,29.52
2020-04-25,
2020-04-26,
2020-04-27,30.06
2020-04-28,30.04
2020-04-29,31.18
2020-04-30,30.84
2020-05-01,30.0
2020-05-02,
2020-05-03,
2020-05-04,30.0
2020-05-05,30.49
2020-05-06,30.3
2020-05-07,30.77
2020-05-08,31.24
2020-05-09,
2020-05-10,
2020-05-11,31.2
2020-05-12,30.35
2020-05-13,29.45
2020-05-14,29.71
2020-05-15,29.84
2020-05-16,
2020-05-17,
2020-05-18,30.95
2020-05-19,30.83
2020-05-20,31.48
2020-05-21,31.34
2020-05-22,31.35
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,31.98
2020-05-27,32.55
2020-05-28,32.42
2020-05-29,32.65
2020-05-30,
2020-05-31,
2020-06-01,32.67
2020-06-02,33.06
2020-06-03,33.7
2020-06-04,33.42
2020-06-05,34.34
2020-06-06,
2020-06-07,
2020-06-08,34.47
2020-06-09,33.86
2020-06-10,33.83
2020-06-11,31.79
2020-06-12,32.17
2020-06-13,
2020-06-14,
2020-06-15,32.34
2020-06-16,32.94
2020-06-17,32.85
2020-06-18,32.75
2020-06-19,32.46
2020-06-20,
2020-06-21,
2020-06-22,32.69
2020-06-23,32.87
2020-06-24,31.82
2020-06-25,32.11
2020-06-26,31.16
2020-06-27,
2020-06-28,
2020-06-29,31.69
2020-06-30,32.36
2020-07-01,32.45
2020-07-02,32.68
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,33.15
2020-07-07,32.68
2020-07-08,32.78
2020-07-09,32.53
2020-07-10,32.76
2020-07-11,
2020-07-12,
2020-07-13,32.4
2020-07-14,32.91
2020-07-15,33.67
2020-07-16,33.48
2020-07-17,33.67
2020-07-18,
2020-07-19,
2020-07-20,33.93
2020-07-21,34.0
2020-07-22,34.41
2020-07-23,34.05
2020-07-24,33.68
2020-07-25,
2020-07-26,
2020-07-27,33.95
2020-07-28,33.59
2020-07-29,33.96
2020-07-30,33.66
2020-07-31,33.74
2020-08-01,
2020-08-02,
2020-08-03,34.12
2020-08-04,34.22
2020-08-05,34.6
2020-08-06,34.82
2020-08-07,34.89
2020-08-08,
2020-08-09,
2020-08-10,34.93
2020-08-11,34.91
2020-08-12,35.27
2020-08-13,35.22
2020-08-14,35.08
2020-08-15,
2020-08-16,
2020-08-17,35.17
2020-08-18,35.12
2020-08-19,34.95
2020-08-20,34.86
2020-08-21,34.89
2020-08-22,
2020-08-23,
2020-08-24,35.23
2020-08-25,35.43
2020-08-26,35.78
2020-08-27,36.13
2020-08-28,36.56
2020-08-29,
2020-08-30,
2020-08-31,36.29
2020-09-01,36.42
2020-09-02,37.23
2020-09-03,35.91
2020-09-04,35.52
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,34.68
2020-09-09,35.3
2020-09-10,34.79
2020-09-11,34.86
2020-09-12,
2020-09-13,
2020-09-14,35.35
2020-09-15,35.74
2020-09-16,35.61
2020-09-17,35.31
2020-09-18,35.1
2020-09-19,
2020-09-20,
2020-09-21,34.37
2020-09-22,34.66
2020-09-23,34.09
2020-09-24,34.12
2020-09-25,34.7
2020-09-26,
2020-09-27,
2020-09-28,35.37
2020-09-29,35.38
2020-09-30,35.73
2020-10-01,36.07
2020-10-02,35.76
2020-10-03,
2020-10-04,
2020-10-05,36.2
2020-10-06,35.65
2020-10-07,36.26
2020-10-08,36.52
2020-10-09,36.93
2020-10-10,
2020-10-11,
2020-10-12,37.44
2020-10-13,37.03
2020-10-14,36.81
2020-10-15,36.82
2020-10-16,36.96
2020-10-17,
2020-10-18,
2020-10-19,36.41
2020-10-20,36.77
2020-10-21,36.66
