Date,Close
2020-01-01,
2020-01-02,46.24
2020-01-03,46.89
2020-01-04,
2020-01-05,
2020-01-06,47.03
2020-01-07,47.2
2020-01-08,47.31
2020-01-09,47.18
2020-01-10,47.05
2020-01-11,
2020-01-12,
2020-01-13,47.18
2020-01-14,47.34
2020-01-15,47.42
2020-01-16,47.56
2020-01-17,47.6
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,47.49
2020-01-22,47.02
2020-01-23,46.62
2020-01-24,46.33
2020-01-25,
2020-01-26,
2020-01-27,45.89
2020-01-28,46.29
2020-01-29,46.19
2020-01-30,45.98
2020-01-31,46.36
2020-02-01,
2020-02-02,
2020-02-03,46.31
2020-02-04,47.16
2020-02-05,47.82
2020-02-06,48.04
2020-02-07,47.91
2020-02-08,
2020-02-09,
2020-02-10,47.51
2020-02-11,47.8
2020-02-12,48.07
2020-02-13,47.93
2020-02-14,47.88
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,47.86
2020-02-19,48.12
2020-02-20,48.31
2020-02-21,47.84
2020-02-22,
2020-02-23,
2020-02-24,46.91
2020-02-25,45.49
2020-02-26,44.94
2020-02-27,43.41
2020-02-28,43.41
2020-02-29,
2020-03-01,
2020-03-02,43.74
2020-03-03,43.17
2020-03-04,43.74
2020-03-05,42.89
2020-03-06,42.0
2020-03-07,
2020-03-08,
2020-03-09,36.61
2020-03-10,38.67
2020-03-11,35.88
2020-03-12,32.84
2020-03-13,34.42
2020-03-14,
2020-03-15,
2020-03-16,31.53
2020-03-17,30.77
2020-03-18,27.88
2020-03-19,29.52
2020-03-20,28.75
2020-03-21,
2020-03-22,
2020-03-23,27.29
2020-03-24,30.63
2020-03-25,31.05
2020-03-26,31.52
2020-03-27,31.48
2020-03-28,
2020-03-29,
2020-03-30,31.82
2020-03-31,31.45
2020-04-01,30.54
2020-04-02,31.86
2020-04-03,32.28
2020-04-04,
2020-04-05,
2020-04-06,33.84
2020-04-07,33.5
2020-04-08,34.36
2020-04-09,35.71
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,35.45
2020-04-14,36.31
2020-04-15,35.35
2020-04-16,35.19
2020-04-17,35.67
2020-04-18,
2020-04-19,
2020-04-20,35.11
2020-04-21,33.89
2020-04-22,35.03
2020-04-23,35.17
2020-04-24,35.33
2020-04-25,
2020-04-26,
2020-04-27,36.21
2020-04-28,36.48
2020-04-29,38.03
2020-04-30,37.84
2020-05-01,36.02
2020-05-02,
2020-05-03,
2020-05-04,36.79
2020-05-05,36.44
2020-05-06,35.62
2020-05-07,36.07
2020-05-08,36.94
2020-05-09,
2020-05-10,
2020-05-11,36.56
2020-05-12,36.24
2020-05-13,35.56
2020-05-14,36.06
2020-05-15,36.17
2020-05-16,
2020-05-17,
2020-05-18,37.44
2020-05-19,37.2
2020-05-20,38.06
2020-05-21,37.82
2020-05-22,37.87
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,38.5
2020-05-27,38.89
2020-05-28,39.05
2020-05-29,38.7
2020-05-30,
2020-05-31,
2020-06-01,39.02
2020-06-02,39.51
2020-06-03,40.12
2020-06-04,40.37
2020-06-05,41.48
2020-06-06,
2020-06-07,
2020-06-08,42.85
2020-06-09,41.54
2020-06-10,40.94
2020-06-11,38.17
2020-06-12,39.64
2020-06-13,
2020-06-14,
2020-06-15,39.73
2020-06-16,40.23
2020-06-17,39.7
2020-06-18,39.37
2020-06-19,39.35
2020-06-20,
2020-06-21,
2020-06-22,39.18
2020-06-23,38.82
2020-06-24,37.59
2020-06-25,37.96
2020-06-26,37.29
2020-06-27,
2020-06-28,
2020-06-29,37.53
2020-06-30,38.22
2020-07-01,37.93
2020-07-02,37.82
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,37.87
2020-07-07,37.17
2020-07-08,37.58
2020-07-09,36.85
2020-07-10,37.09
2020-07-11,
2020-07-12,
2020-07-13,36.77
2020-07-14,38.15
2020-07-15,38.88
2020-07-16,38.37
2020-07-17,38.57
2020-07-18,
2020-07-19,
2020-07-20,38.27
2020-07-21,38.61
2020-07-22,38.5
2020-07-23,38.34
2020-07-24,38.17
2020-07-25,
2020-07-26,
2020-07-27,38.36
2020-07-28,38.22
2020-07-29,38.64
2020-07-30,38.3
2020-07-31,37.9
2020-08-01,
2020-08-02,
2020-08-03,38.14
2020-08-04,38.97
2020-08-05,39.9
2020-08-06,39.37
2020-08-07,39.43
2020-08-08,
2020-08-09,
2020-08-10,40.03
2020-08-11,39.62
2020-08-12,39.7
2020-08-13,39.7
2020-08-14,40.03
2020-08-15,
2020-08-16,
2020-08-17,40.19
2020-08-18,39.84
2020-08-19,39.35
2020-08-20,39.1
2020-08-21,38.79
2020-08-22,
2020-08-23,
2020-08-24,38.77
2020-08-25,38.7
2020-08-26,38.72
2020-08-27,38.75
2020-08-28,38.78
2020-08-29,
2020-08-30,
2020-08-31,38.44
2020-09-01,38.77
2020-09-02,38.9
2020-09-03,38.2
2020-09-04,37.7
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,36.97
2020-09-09,37.55
2020-09-10,36.64
2020-09-11,36.55
2020-09-12,
2020-09-13,
2020-09-14,36.98
2020-09-15,36.62
2020-09-16,36.63
2020-09-17,36.47
2020-09-18,36.17
2020-09-19,
2020-09-20,
2020-09-21,35.64
2020-09-22,35.8
2020-09-23,34.84
2020-09-24,35.31
2020-09-25,35.38
2020-09-26,
2020-09-27,
2020-09-28,35.91
2020-09-29,35.5
2020-09-30,35.51
2020-10-01,35.71
2020-10-02,35.68
2020-10-03,
2020-10-04,
2020-10-05,36.02
2020-10-06,35.86
2020-10-07,36.36
2020-10-08,37.0
2020-10-09,36.61
2020-10-10,
2020-10-11,
2020-10-12,36.92
2020-10-13,36.42
2020-10-14,36.47
2020-10-15,36.89
2020-10-16,36.51
2020-10-17,
2020-10-18,
2020-10-19,36.41
2020-10-20,36.52
2020-10-21,36.49
2020-10-22,37.1
2020-10-23,37.04
2020-10-24,
2020-10-25,
2020-10-26,36.48
2020-10-27,36.24
2020-10-28,35.31
2020-10-29,35.81
2020-10-30,35.53
2020-10-31,
2020-11-01,
2020-11-02,36.13
2020-11-03,37.02
2020-11-04,36.99
2020-11-05,38.51
2020-11-06,38.24
2020-11-07,
2020-11-08,
2020-11-09,40.56
2020-11-10,40.2
2020-11-11,39.92
2020-11-12,39.71
2020-11-13,40.35
2020-11-14,
2020-11-15,
2020-11-16,41.7
2020-11-17,42.1
2020-11-18,41.73
2020-11-19,41.69
2020-11-20,41.93
2020-11-21,
2020-11-22,
2020-11-23,42.85
2020-11-24,43.83
2020-11-25,43.11
2020-11-26,
2020-11-27,42.1
2020-11-28,
2020-11-29,
2020-11-30,43.03
2020-12-01,43.44
2020-12-02,43.69
2020-12-03,44.3
2020-12-04,45.13
2020-12-05,
2020-12-06,
2020-12-07,45.03
2020-12-08,44.91
2020-12-09,44.94
2020-12-10,45.74
2020-12-11,45.48
2020-12-12,
2020-12-13,
2020-12-14,45.41
2020-12-15,46.2
2020-12-16,46.96
2020-12-17,47.56
2020-12-18,47.99
2020-12-19,
2020-12-20,
2020-12-21,47.56
2020-12-22,46.77
2020-12-23,46.71
2020-12-24,46.38
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,46.89
