Date,Close
2020-01-01,
2020-01-02,32.77
2020-01-03,33.25
2020-01-04,
2020-01-05,
2020-01-06,33.56
2020-01-07,34.22
2020-01-08,33.93
2020-01-09,34.0
2020-01-10,34.16
2020-01-11,
2020-01-12,
2020-01-13,34.19
2020-01-14,34.45
2020-01-15,34.52
2020-01-16,34.44
2020-01-17,34.73
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,34.44
2020-01-22,34.25
2020-01-23,33.93
2020-01-24,34.06
2020-01-25,
2020-01-26,
2020-01-27,33.99
2020-01-28,34.34
2020-01-29,34.77
2020-01-30,35.08
2020-01-31,34.71
2020-02-01,
2020-02-02,
2020-02-03,34.7
2020-02-04,34.96
2020-02-05,35.62
2020-02-06,35.81
2020-02-07,35.78
2020-02-08,
2020-02-09,
2020-02-10,35.96
2020-02-11,36.49
2020-02-12,36.86
2020-02-13,36.35
2020-02-14,36.76
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,36.93
2020-02-19,36.86
2020-02-20,36.36
2020-02-21,36.2
2020-02-22,
2020-02-23,
2020-02-24,35.23
2020-02-25,33.72
2020-02-26,33.54
2020-02-27,32.96
2020-02-28,32.61
2020-02-29,
2020-03-01,
2020-03-02,33.3
2020-03-03,32.72
2020-03-04,33.26
2020-03-05,33.19
2020-03-06,32.68
2020-03-07,
2020-03-08,
2020-03-09,29.73
2020-03-10,30.9
2020-03-11,29.4
2020-03-12,26.73
2020-03-13,27.86
2020-03-14,
2020-03-15,
2020-03-16,25.82
2020-03-17,26.29
2020-03-18,25.13
2020-03-19,26.39
2020-03-20,25.89
2020-03-21,
2020-03-22,
2020-03-23,25.42
2020-03-24,27.17
2020-03-25,27.14
2020-03-26,27.74
2020-03-27,27.32
2020-03-28,
2020-03-29,
2020-03-30,27.48
2020-03-31,27.32
2020-04-01,26.43
2020-04-02,27.62
2020-04-03,27.51
2020-04-04,
2020-04-05,
2020-04-06,28.81
2020-04-07,28.47
2020-04-08,29.02
2020-04-09,29.38
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,28.87
2020-04-14,29.48
2020-04-15,29.01
2020-04-16,29.35
2020-04-17,29.62
2020-04-18,
2020-04-19,
2020-04-20,29.28
2020-04-21,28.73
2020-04-22,29.5
2020-04-23,30.14
2020-04-24,30.34
2020-04-25,
2020-04-26,
2020-04-27,30.83
2020-04-28,30.45
2020-04-29,32.12
2020-04-30,32.18
2020-05-01,31.4
2020-05-02,
2020-05-03,
2020-05-04,31.92
2020-05-05,31.96
2020-05-06,32.19
2020-05-07,33.45
2020-05-08,33.39
2020-05-09,
2020-05-10,
2020-05-11,32.62
2020-05-12,32.52
2020-05-13,32.65
2020-05-14,33.17
2020-05-15,32.81
2020-05-16,
2020-05-17,
2020-05-18,33.54
2020-05-19,33.43
2020-05-20,33.82
2020-05-21,33.29
2020-05-22,33.41
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,33.26
2020-05-27,33.59
2020-05-28,33.96
2020-05-29,34.08
2020-05-30,
2020-05-31,
2020-06-01,34.4
2020-06-02,34.69
2020-06-03,34.79
2020-06-04,34.96
2020-06-05,35.02
2020-06-06,
2020-06-07,
2020-06-08,35.52
2020-06-09,35.25
2020-06-10,35.65
2020-06-11,33.55
2020-06-12,34.13
2020-06-13,
2020-06-14,
2020-06-15,34.18
2020-06-16,34.54
2020-06-17,34.33
2020-06-18,34.18
2020-06-19,33.92
2020-06-20,
2020-06-21,
2020-06-22,34.17
2020-06-23,34.42
2020-06-24,33.37
2020-06-25,33.5
2020-06-26,32.78
2020-06-27,
2020-06-28,
2020-06-29,32.77
2020-06-30,33.16
2020-07-01,33.35
2020-07-02,33.13
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,33.5
2020-07-07,33.17
2020-07-08,33.74
2020-07-09,33.23
2020-07-10,33.19
2020-07-11,
2020-07-12,
2020-07-13,32.72
2020-07-14,33.21
2020-07-15,33.3
2020-07-16,32.98
2020-07-17,33.31
2020-07-18,
2020-07-19,
2020-07-20,33.45
2020-07-21,33.75
2020-07-22,33.99
2020-07-23,33.96
2020-07-24,33.77
2020-07-25,
2020-07-26,
2020-07-27,35.04
2020-07-28,35.11
2020-07-29,35.36
2020-07-30,35.46
2020-07-31,35.66
2020-08-01,
2020-08-02,
2020-08-03,36.11
2020-08-04,36.1
2020-08-05,36.9
2020-08-06,37.25
2020-08-07,36.35
2020-08-08,
2020-08-09,
2020-08-10,36.69
2020-08-11,35.77
2020-08-12,36.27
2020-08-13,36.46
2020-08-14,36.74
2020-08-15,
2020-08-16,
2020-08-17,37.68
2020-08-18,37.39
2020-08-19,36.8
2020-08-20,37.17
2020-08-21,36.78
2020-08-22,
2020-08-23,
2020-08-24,36.98
2020-08-25,36.62
2020-08-26,36.97
2020-08-27,36.66
2020-08-28,36.91
2020-08-29,
2020-08-30,
2020-08-31,37.0
2020-09-01,37.45
2020-09-02,37.29
2020-09-03,35.88
2020-09-04,35.25
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,34.15
2020-09-09,34.9
2020-09-10,34.37
2020-09-11,34.08
2020-09-12,
2020-09-13,
2020-09-14,34.69
2020-09-15,34.73
2020-09-16,34.65
2020-09-17,34.32
2020-09-18,34.0
2020-09-19,
2020-09-20,
2020-09-21,33.56
2020-09-22,33.95
2020-09-23,32.97
2020-09-24,33.47
2020-09-25,33.69
2020-09-26,
2020-09-27,
2020-09-28,33.93
2020-09-29,33.79
2020-09-30,33.78
2020-10-01,33.83
2020-10-02,33.62
2020-10-03,
2020-10-04,
2020-10-05,34.13
2020-10-06,33.67
2020-10-07,33.97
2020-10-08,34.73
2020-10-09,34.75
2020-10-10,
2020-10-11,
2020-10-12,35.6
2020-10-13,35.46
2020-10-14,35.2
2020-10-15,35.43
2020-10-16,35.36
2020-10-17,
2020-10-18,
2020-10-19,35.38
2020-10-20,35.83
2020-10-21,36.7
2020-10-22,36.91
2020-10-23,36.74
2020-10-24,
2020-10-25,
2020-10-26,36.31
2020-10-27,37.13
2020-10-28,36.03
2020-10-29,36.56
2020-10-30,36.38
2020-10-31,
2020-11-01,
2020-11-02,36.69
2020-11-03,36.81
2020-11-04,37.77
2020-11-05,39.09
2020-11-06,39.18
2020-11-07,
2020-11-08,
2020-11-09,39.26
2020-11-10,38.74
2020-11-11,39.48
2020-11-12,39.82
2020-11-13,39.85
2020-11-14,
2020-11-15,
2020-11-16,40.79
2020-11-17,41.5
2020-11-18,41.01
2020-11-19,41.31
2020-11-20,42.01
2020-11-21,
2020-11-22,
2020-11-23,42.94
2020-11-24,43.51
2020-11-25,42.59
2020-11-26,
2020-11-27,41.13
2020-11-28,
2020-11-29,
2020-11-30,43.93
2020-12-01,44.48
2020-12-02,44.27
2020-12-03,44.8
2020-12-04,44.64
2020-12-05,
2020-12-06,
2020-12-07,44.23
2020-12-08,43.29
2020-12-09,42.57
2020-12-10,43.66
2020-12-11,43.06
2020-12-12,
2020-12-13,
2020-12-14,44.13
2020-12-15,44.97
2020-12-16,46.87
2020-12-17,48.64
2020-12-18,49.58
2020-12-19,
2020-12-20,
2020-12-21,50.27
2020-12-22,49.95
2020-12-23,48.93
2020-12-24,47.94
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,49.96
2020-12-29,49.62
2020-12-30,51.74
2020-12-31,51.28
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,53.23
2021-01-05,56.26
2021-01-06,58.95
2021-01-07,59.77
2021-01-08,59.7
2021-01-09,
2021-01-10,
2021-01-11,55.51
2021-01-12,56.54
2021-01-13,57.24
2021-01-14,59.28
2021-01-15,56.5
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,56.01
2021-01-20,54.4
2021-01-21,52.08
2021-01-22,53.79
2021-01-23,
2021-01-24,
2021-01-25,52.82
2021-01-26,51.84
2021-01-27,51.21
2021-01-28,52.93
2021-01-29,53.29
2021-01-30,
2021-01-31,
2021-02-01,53.22
2021-02-02,55.5
2021-02-03,56.74
2021-02-04,57.47
2021-02-05,57.67
2021-02-06,
2021-02-07,
2021-02-08,63.05
2021-02-09,64.43
2021-02-10,62.95
2021-02-11,65.06
2021-02-12,66.13
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,67.27
2021-02-17,69.4
2021-02-18,68.28
2021-02-19,70.5
2021-02-20,
2021-02-21,
2021-02-22,68.27
2021-02-23,63.49
2021-02-24,65.28
2021-02-25,62.87
2021-02-26,61.37
2021-02-27,
2021-02-28,
2021-03-01,63.63
2021-03-02,62.36
2021-03-03,63.54
2021-03-04,60.24
2021-03-05,62.03
2021-03-06,
2021-03-07,
2021-03-08,63.15
2021-03-09,65.94
2021-03-10,67.21
2021-03-11,69.17
2021-03-12,67.76
2021-03-13,
2021-03-14,
2021-03-15,69.38
2021-03-16,68.49
2021-03-17,70.8
2021-03-18,68.79
2021-03-19,70.86
2021-03-20,
2021-03-21,
2021-03-22,68.33
2021-03-23,65.55
2021-03-24,64.52
2021-03-25,64.47
2021-03-26,66.07
2021-03-27,
2021-03-28,
2021-03-29,67.29
2021-03-30,68.39
2021-03-31,68.38
2021-04-01,69.24
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,70.75
2021-04-06,69.52
2021-04-07,67.71
2021-04-08,68.87
2021-04-09,69.35
2021-04-10,
2021-04-11,
2021-04-12,70.82
2021-04-13,72.51
2021-04-14,70.56
2021-04-15,71.17
2021-04-16,70.56
2021-04-17,
2021-04-18,
2021-04-19,68.35
2021-04-20,67.31
2021-04-21,66.24
2021-04-22,63.89
2021-04-23,64.68
2021-04-24,
2021-04-25,
2021-04-26,67.4
2021-04-27,67.88
2021-04-28,68.05
2021-04-29,65.59
2021-04-30,67.49
2021-05-01,
2021-05-02,
2021-05-03,68.14
2021-05-04,66.4
2021-05-05,67.6
2021-05-06,66.66
2021-05-07,68.47
2021-05-08,
2021-05-09,
2021-05-10,66.67
2021-05-11,66.86
2021-05-12,64.55
2021-05-13,61.8
2021-05-14,63.66
2021-05-15,
2021-05-16,
2021-05-17,61.14
2021-05-18,60.07
2021-05-19,58.67
2021-05-20,59.3
2021-05-21,57.68
2021-05-22,
2021-05-23,
2021-05-24,59.26
2021-05-25,58.35
2021-05-26,58.7
2021-05-27,58.76
2021-05-28,57.43
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,57.3
2021-06-02,58.31
2021-06-03,58.67
2021-06-04,58.22
2021-06-05,
2021-06-06,
2021-06-07,57.51
2021-06-08,56.56
2021-06-09,58.05
2021-06-10,58.31
2021-06-11,58.9
2021-06-12,
2021-06-13,
2021-06-14,59.99
2021-06-15,60.29
2021-06-16,59.59
2021-06-17,59.02
2021-06-18,58.06
2021-06-19,
2021-06-20,
2021-06-21,57.42
2021-06-22,57.64
2021-06-23,57.64
2021-06-24,58.65
2021-06-25,57.65
2021-06-26,
2021-06-27,
2021-06-28,58.43
2021-06-29,59.57
2021-06-30,59.04
2021-07-01,58.29
2021-07-02,58.25
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,58.15
2021-07-07,57.77
2021-07-08,56.69
2021-07-09,57.27
2021-07-10,
2021-07-11,
2021-07-12,57.06
2021-07-13,56.71
2021-07-14,56.63
2021-07-15,55.62
2021-07-16,55.81
2021-07-17,
2021-07-18,
2021-07-19,54.86
2021-07-20,54.86
2021-07-21,56.41
2021-07-22,56.97
2021-07-23,57.3
2021-07-24,
2021-07-25,
2021-07-26,61.11
2021-07-27,60.11
2021-07-28,61.63
2021-07-29,60.71
2021-07-30,60.88
2021-07-31,
2021-08-01,
2021-08-02,60.06
2021-08-03,58.92
2021-08-04,59.45
2021-08-05,60.16
2021-08-06,61.46
2021-08-07,
2021-08-08,
2021-08-09,62.93
2021-08-10,62.55
2021-08-11,63.07
2021-08-12,61.97
2021-08-13,62.77
2021-08-14,
2021-08-15,
2021-08-16,62.39
2021-08-17,61.27
2021-08-18,60.14
2021-08-19,61.14
2021-08-20,62.56
2021-08-21,
2021-08-22,
2021-08-23,63.04
2021-08-24,62.83
2021-08-25,62.98
2021-08-26,61.89
2021-08-27,63.13
2021-08-28,
2021-08-29,
2021-08-30,63.14
2021-08-31,62.13
2021-09-01,62.44
2021-09-02,62.75
2021-09-03,63.58
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,61.62
2021-09-08,61.35
2021-09-09,61.19
2021-09-10,60.55
2021-09-11,
2021-09-12,
2021-09-13,60.05
2021-09-14,60.41
2021-09-15,61.87
2021-09-16,61.33
2021-09-17,61.31
2021-09-18,
2021-09-19,
2021-09-20,58.77
2021-09-21,57.93
2021-09-22,59.21
2021-09-23,60.3
2021-09-24,59.37
2021-09-25,
2021-09-26,
2021-09-27,59.62
2021-09-28,58.31
2021-09-29,57.27
2021-09-30,58.03
2021-10-01,60.09
2021-10-02,
2021-10-03,
2021-10-04,60.72
2021-10-05,61.85
2021-10-06,63.22
2021-10-07,62.89
2021-10-08,63.45
2021-10-09,
2021-10-10,
2021-10-11,64.27
2021-10-12,63.05
2021-10-13,64.52
2021-10-14,65.15
2021-10-15,66.73
2021-10-16,
2021-10-17,
2021-10-18,65.73
2021-10-19,67.88
2021-10-20,69.48
2021-10-21,67.52
2021-10-22,67.55
2021-10-23,
2021-10-24,
2021-10-25,69.09
2021-10-26,68.38
2021-10-27,66.09
2021-10-28,67.38
2021-10-29,68.09
2021-10-30,
2021-10-31,
2021-11-01,67.99
2021-11-02,68.54
2021-11-03,68.26
2021-11-04,67.54
2021-11-05,68.13
2021-11-06,
2021-11-07,
2021-11-08,70.13
2021-11-09,70.47
2021-11-10,69.9
2021-11-11,69.43
2021-11-12,69.07
2021-11-13,
2021-11-14,
2021-11-15,68.91
2021-11-16,66.89
2021-11-17,67.09
2021-11-18,66.06
2021-11-19,66.2
2021-11-20,
2021-11-21,
2021-11-22,65.03
2021-11-23,66.11
2021-11-24,65.93
2021-11-25,
2021-11-26,64.3
2021-11-27,
2021-11-28,
2021-11-29,65.71
2021-11-30,64.71
2021-12-01,63.67
2021-12-02,64.44
2021-12-03,62.42
2021-12-04,
2021-12-05,
2021-12-06,61.18
2021-12-07,62.58
2021-12-08,62.63
2021-12-09,60.81
2021-12-10,60.85
2021-12-11,
2021-12-12,
2021-12-13,59.71
2021-12-14,60.17
2021-12-15,60.85
2021-12-16,60.03
2021-12-17,58.92
2021-12-18,
2021-12-19,
2021-12-20,58.76
2021-12-21,60.24
2021-12-22,60.51
2021-12-23,61.8
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,62.1
2021-12-28,60.41
2021-12-29,59.79
2021-12-30,59.82
2021-12-31,59.15
2022-01-01,
2022-01-02,
2022-01-03,59.15
2022-01-04,59.75
2022-01-05,57.89
2022-01-06,57.64
2022-01-07,56.94
2022-01-08,
2022-01-09,
2022-01-10,56.32
2022-01-11,57.23
2022-01-12,57.61
2022-01-13,55.99
2022-01-14,56.01
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,54.32
2022-01-19,53.83
2022-01-20,54.0
2022-01-21,51.35
2022-01-22,
2022-01-23,
2022-01-24,51.67
2022-01-25,51.23
2022-01-26,51.17
2022-01-27,49.77
2022-01-28,51.39
2022-01-29,
2022-01-30,
2022-01-31,52.37
2022-02-01,52.93
2022-02-02,52.11
2022-02-03,51.06
2022-02-04,53.27
2022-02-05,
2022-02-06,
2022-02-07,54.68
2022-02-08,55.08
2022-02-09,55.78
2022-02-10,54.9
2022-02-11,54.04
2022-02-12,
2022-02-13,
2022-02-14,53.49
2022-02-15,54.75
2022-02-16,54.35
2022-02-17,52.28
2022-02-18,51.41
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,50.32
2022-02-23,49.91
2022-02-24,51.41
2022-02-25,51.91
2022-02-26,
2022-02-27,
2022-02-28,54.1
2022-03-01,54.62
2022-03-02,54.79
2022-03-03,53.13
2022-03-04,52.29
2022-03-05,
2022-03-06,
2022-03-07,50.9
2022-03-08,51.32
2022-03-09,53.3
2022-03-10,52.54
2022-03-11,51.93
2022-03-12,
2022-03-13,
2022-03-14,51.55
2022-03-15,52.22
2022-03-16,53.34
2022-03-17,54.39
2022-03-18,55.05
2022-03-19,
2022-03-20,
2022-03-21,54.76
2022-03-22,55.62
2022-03-23,55.63
2022-03-24,56.96
2022-03-25,57.05
2022-03-26,
2022-03-27,
2022-03-28,58.55
2022-03-29,58.74
2022-03-30,58.22
2022-03-31,56.37
2022-04-01,57.81
2022-04-02,
2022-04-03,
2022-04-04,58.22
2022-04-05,57.63
2022-04-06,56.16
2022-04-07,56.33
2022-04-08,55.91
2022-04-09,
2022-04-10,
2022-04-11,54.32
2022-04-12,53.94
2022-04-13,55.39
2022-04-14,54.79
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,55.52
2022-04-19,56.04
2022-04-20,56.07
2022-04-21,54.93
2022-04-22,53.32
2022-04-23,
2022-04-24,
2022-04-25,53.77
2022-04-26,52.1
2022-04-27,52.03
2022-04-28,53.03
2022-04-29,51.62
2022-04-30,
2022-05-01,
2022-05-02,51.41
2022-05-03,51.18
2022-05-04,53.16
2022-05-05,50.82
2022-05-06,50.69
2022-05-07,
2022-05-08,
2022-05-09,46.86
2022-05-10,47.18
2022-05-11,45.35
2022-05-12,44.98
2022-05-13,46.45
2022-05-14,
2022-05-15,
2022-05-16,46.01
2022-05-17,46.8
2022-05-18,45.71
2022-05-19,46.33
2022-05-20,45.92
2022-05-21,
2022-05-22,
2022-05-23,46.14
2022-05-24,46.18
2022-05-25,46.9
2022-05-26,47.33
2022-05-27,47.89
2022-05-28,
2022-05-29,
2022-05-30,
2022-05-31,48.79
2022-06-01,48.37
2022-06-02,49.02
2022-06-03,48.64
2022-06-04,
2022-06-05,
2022-06-06,49.27
2022-06-07,49.91
2022-06-08,49.13
2022-06-09,48.9
2022-06-10,48.09
2022-06-11,
2022-06-12,
2022-06-13,44.73
2022-06-14,44.51
2022-06-15,44.4
2022-06-16,42.73
2022-06-17,42.02
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,43.37
2022-06-22,42.51
