Date,Close
2020-01-01,
2020-01-02,45.21
2020-01-03,44.72
2020-01-04,
2020-01-05,
2020-01-06,44.64
2020-01-07,45.77
2020-01-08,45.77
2020-01-09,45.78
2020-01-10,45.59
2020-01-11,
2020-01-12,
2020-01-13,46.58
2020-01-14,47.07
2020-01-15,46.68
2020-01-16,47.18
2020-01-17,47.96
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,48.15
2020-01-22,48.09
2020-01-23,48.23
2020-01-24,48.44
2020-01-25,
2020-01-26,
2020-01-27,47.18
2020-01-28,47.16
2020-01-29,47.73
2020-01-30,47.34
2020-01-31,46.21
2020-02-01,
2020-02-02,
2020-02-03,46.58
2020-02-04,48.98
2020-02-05,49.11
2020-02-06,50.15
2020-02-07,50.17
2020-02-08,
2020-02-09,
2020-02-10,50.45
2020-02-11,50.83
2020-02-12,50.67
2020-02-13,51.71
2020-02-14,51.85
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,52.28
2020-02-19,54.47
2020-02-20,63.63
2020-02-21,65.0
2020-02-22,
2020-02-23,
2020-02-24,59.69
2020-02-25,57.78
2020-02-26,57.08
2020-02-27,54.62
2020-02-28,55.81
2020-02-29,
2020-03-01,
2020-03-02,54.4
2020-03-03,53.21
2020-03-04,54.25
2020-03-05,51.55
2020-03-06,49.35
2020-03-07,
2020-03-08,
2020-03-09,44.97
2020-03-10,45.39
2020-03-11,41.49
2020-03-12,35.53
2020-03-13,36.34
2020-03-14,
2020-03-15,
2020-03-16,28.67
2020-03-17,28.12
2020-03-18,25.01
2020-03-19,26.32
2020-03-20,27.19
2020-03-21,
2020-03-22,
2020-03-23,31.22
2020-03-24,36.82
2020-03-25,39.89
2020-03-26,40.78
2020-03-27,37.94
2020-03-28,
2020-03-29,
2020-03-30,37.06
2020-03-31,36.02
2020-04-01,31.44
2020-04-02,30.13
2020-04-03,30.31
2020-04-04,
2020-04-05,
2020-04-06,37.12
2020-04-07,37.8
2020-04-08,39.19
2020-04-09,40.63
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,38.44
2020-04-14,38.69
2020-04-15,36.11
2020-04-16,33.36
2020-04-17,36.33
2020-04-18,
2020-04-19,
2020-04-20,36.46
2020-04-21,36.2
2020-04-22,38.72
2020-04-23,38.34
2020-04-24,40.71
2020-04-25,
2020-04-26,
2020-04-27,43.01
2020-04-28,42.16
2020-04-29,45.62
2020-04-30,43.96
2020-05-01,42.46
2020-05-02,
2020-05-03,
2020-05-04,42.59
2020-05-05,43.6
2020-05-06,43.43
2020-05-07,48.56
2020-05-08,52.97
2020-05-09,
2020-05-10,
2020-05-11,55.76
2020-05-12,49.22
2020-05-13,46.53
2020-05-14,47.46
2020-05-15,48.78
2020-05-16,
2020-05-17,
2020-05-18,49.62
2020-05-19,51.09
2020-05-20,54.05
2020-05-21,54.16
2020-05-22,56.5
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,58.87
2020-05-27,59.05
2020-05-28,57.37
2020-05-29,57.99
2020-05-30,
2020-05-31,
2020-06-01,58.22
2020-06-02,59.38
2020-06-03,62.07
2020-06-04,61.42
2020-06-05,59.32
2020-06-06,
2020-06-07,
2020-06-08,62.26
2020-06-09,61.19
2020-06-10,59.59
2020-06-11,56.3
2020-06-12,56.79
2020-06-13,
2020-06-14,
2020-06-15,60.0
2020-06-16,59.1
2020-06-17,60.74
2020-06-18,61.34
2020-06-19,62.25
2020-06-20,
2020-06-21,
2020-06-22,60.66
2020-06-23,63.11
2020-06-24,59.3
2020-06-25,59.08
2020-06-26,55.59
2020-06-27,
2020-06-28,
2020-06-29,57.12
2020-06-30,57.61
2020-07-01,58.91
2020-07-02,59.96
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,61.28
2020-07-07,62.69
2020-07-08,63.61
2020-07-09,62.99
2020-07-10,62.25
2020-07-11,
2020-07-12,
2020-07-13,58.2
2020-07-14,57.85
2020-07-15,59.08
2020-07-16,62.19
2020-07-17,64.24
2020-07-18,
2020-07-19,
2020-07-20,66.24
2020-07-21,65.02
2020-07-22,67.4
2020-07-23,65.5
2020-07-24,65.72
2020-07-25,
2020-07-26,
2020-07-27,66.91
2020-07-28,65.0
2020-07-29,66.49
2020-07-30,69.9
2020-07-31,68.39
2020-08-01,
2020-08-02,
2020-08-03,67.94
2020-08-04,68.24
2020-08-05,70.6
2020-08-06,71.42
2020-08-07,79.76
2020-08-08,
2020-08-09,
2020-08-10,79.34
2020-08-11,75.33
2020-08-12,76.0
2020-08-13,74.44
2020-08-14,76.64
2020-08-15,
2020-08-16,
2020-08-17,79.79
2020-08-18,82.32
2020-08-19,83.83
2020-08-20,82.85
2020-08-21,83.2
2020-08-22,
2020-08-23,
2020-08-24,83.6
2020-08-25,82.83
2020-08-26,83.85
2020-08-27,85.24
2020-08-28,87.32
2020-08-29,
2020-08-30,
2020-08-31,85.76
2020-09-01,88.44
2020-09-02,89.28
2020-09-03,85.44
2020-09-04,83.88
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,80.66
2020-09-09,82.32
2020-09-10,82.76
2020-09-11,85.38
2020-09-12,
2020-09-13,
2020-09-14,87.18
2020-09-15,91.17
2020-09-16,94.98
2020-09-17,96.45
2020-09-18,95.87
2020-09-19,
2020-09-20,
2020-09-21,95.71
2020-09-22,99.19
2020-09-23,96.32
2020-09-24,97.81
2020-09-25,101.27
2020-09-26,
2020-09-27,
2020-09-28,101.16
2020-09-29,101.42
2020-09-30,101.59
2020-10-01,107.53
2020-10-02,108.18
2020-10-03,
2020-10-04,
2020-10-05,110.11
2020-10-06,104.99
2020-10-07,105.51
2020-10-08,105.04
2020-10-09,104.26
2020-10-10,
2020-10-11,
2020-10-12,101.01
2020-10-13,101.2
2020-10-14,102.87
2020-10-15,101.86
2020-10-16,97.11
2020-10-17,
2020-10-18,
2020-10-19,98.45
2020-10-20,98.43
2020-10-21,98.65
2020-10-22,96.78
2020-10-23,96.16
2020-10-24,
2020-10-25,
2020-10-26,92.05
2020-10-27,92.52
2020-10-28,89.66
2020-10-29,92.01
2020-10-30,88.62
2020-10-31,
2020-11-01,
2020-11-02,89.16
2020-11-03,91.69
2020-11-04,99.95
2020-11-05,103.85
2020-11-06,118.42
2020-11-07,
2020-11-08,
2020-11-09,104.12
2020-11-10,100.39
2020-11-11,108.02
2020-11-12,107.42
2020-11-13,106.03
2020-11-14,
2020-11-15,
2020-11-16,107.04
2020-11-17,105.26
2020-11-18,102.24
2020-11-19,109.49
2020-11-20,111.56
2020-11-21,
2020-11-22,
2020-11-23,114.13
2020-11-24,107.0
2020-11-25,107.09
2020-11-26,
2020-11-27,108.05
2020-11-28,
2020-11-29,
2020-11-30,107.81
2020-12-01,107.19
2020-12-02,107.1
2020-12-03,107.27
2020-12-04,106.97
2020-12-05,
2020-12-06,
2020-12-07,111.92
2020-12-08,114.7
2020-12-09,117.23
2020-12-10,121.09
2020-12-11,126.47
2020-12-12,
2020-12-13,
2020-12-14,134.17
2020-12-15,133.8
2020-12-16,135.0
2020-12-17,138.53
2020-12-18,135.2
2020-12-19,
2020-12-20,
2020-12-21,136.4
2020-12-22,140.66
2020-12-23,141.23
2020-12-24,138.64
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,132.68
2020-12-29,130.56
2020-12-30,130.45
2020-12-31,129.8
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,130.77
2021-01-05,135.65
2021-01-06,134.68
2021-01-07,141.99
2021-01-08,144.61
2021-01-09,
2021-01-10,
2021-01-11,143.19
2021-01-12,146.32
2021-01-13,143.23
2021-01-14,143.7
2021-01-15,137.5
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,143.97
2021-01-20,148.54
2021-01-21,145.92
2021-01-22,145.82
2021-01-23,
2021-01-24,
2021-01-25,146.86
2021-01-26,139.27
2021-01-27,127.47
2021-01-28,132.35
2021-01-29,130.46
2021-01-30,
2021-01-31,
2021-02-01,137.05
2021-02-02,144.86
2021-02-03,144.79
2021-02-04,148.6
2021-02-05,156.77
2021-02-06,
2021-02-07,
2021-02-08,163.27
2021-02-09,168.72
2021-02-10,164.7
2021-02-11,194.0
2021-02-12,197.81
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,199.9
2021-02-17,189.76
2021-02-18,181.25
2021-02-19,181.22
2021-02-20,
2021-02-21,
2021-02-22,169.62
2021-02-23,168.87
2021-02-24,164.28
2021-02-25,152.44
2021-02-26,161.33
2021-02-27,
2021-02-28,
2021-03-01,167.0
2021-03-02,161.86
2021-03-03,149.16
2021-03-04,136.5
2021-03-05,135.16
2021-03-06,
2021-03-07,
2021-03-08,124.66
2021-03-09,138.27
2021-03-10,146.96
2021-03-11,157.26
2021-03-12,150.71
2021-03-13,
2021-03-14,
2021-03-15,150.5
2021-03-16,146.17
2021-03-17,143.88
2021-03-18,131.78
2021-03-19,134.61
2021-03-20,
2021-03-21,
2021-03-22,137.91
2021-03-23,134.49
2021-03-24,127.36
2021-03-25,124.92
2021-03-26,127.24
2021-03-27,
2021-03-28,
2021-03-29,119.63
2021-03-30,123.76
2021-03-31,129.64
2021-04-01,133.41
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,133.48
2021-04-06,140.29
2021-04-07,137.91
2021-04-08,146.71
2021-04-09,145.11
2021-04-10,
2021-04-11,
2021-04-12,142.01
2021-04-13,144.11
2021-04-14,136.46
2021-04-15,141.4
2021-04-16,134.61
2021-04-17,
2021-04-18,
2021-04-19,133.0
2021-04-20,129.2
2021-04-21,135.06
2021-04-22,132.47
2021-04-23,137.0
2021-04-24,
2021-04-25,
2021-04-26,141.19
2021-04-27,138.99
2021-04-28,135.87
2021-04-29,132.44
2021-04-30,130.12
2021-05-01,
2021-05-02,
2021-05-03,125.7
2021-05-04,121.45
2021-05-05,113.8
2021-05-06,113.75
2021-05-07,118.54
2021-05-08,
2021-05-09,
2021-05-10,112.47
2021-05-11,114.78
2021-05-12,108.72
2021-05-13,107.1
2021-05-14,111.88
2021-05-15,
2021-05-16,
2021-05-17,110.17
