Date,Close
2020-01-01,
2020-01-02,138.66
2020-01-03,138.29
2020-01-04,
2020-01-05,
2020-01-06,137.49
2020-01-07,137.37
2020-01-08,139.02
2020-01-09,138.1
2020-01-10,139.39
2020-01-11,
2020-01-12,
2020-01-13,138.49
2020-01-14,137.86
2020-01-15,137.68
2020-01-16,138.26
2020-01-17,138.82
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,138.92
2020-01-22,140.31
2020-01-23,138.94
2020-01-24,137.35
2020-01-25,
2020-01-26,
2020-01-27,137.58
2020-01-28,138.66
2020-01-29,140.1
2020-01-30,140.5
2020-01-31,137.45
2020-02-01,
2020-02-02,
2020-02-03,138.01
2020-02-04,145.69
2020-02-05,146.55
2020-02-06,147.77
2020-02-07,145.34
2020-02-08,
2020-02-09,
2020-02-10,147.04
2020-02-11,148.03
2020-02-12,147.48
2020-02-13,147.51
2020-02-14,149.06
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,147.99
2020-02-19,148.71
2020-02-20,147.2
2020-02-21,146.27
2020-02-22,
2020-02-23,
2020-02-24,143.42
2020-02-25,139.15
2020-02-26,136.2
2020-02-27,130.06
2020-02-28,126.53
2020-02-29,
2020-03-01,
2020-03-02,129.41
2020-03-03,124.4
2020-03-04,128.31
2020-03-05,120.06
2020-03-06,115.33
2020-03-07,
2020-03-08,
2020-03-09,103.4
2020-03-10,109.95
2020-03-11,103.33
2020-03-12,94.82
2020-03-13,90.89
2020-03-14,
2020-03-15,
2020-03-16,85.5
2020-03-17,80.07
2020-03-18,74.93
2020-03-19,82.84
2020-03-20,79.9
2020-03-21,
2020-03-22,
2020-03-23,75.1
2020-03-24,86.8
2020-03-25,89.99
2020-03-26,93.96
2020-03-27,88.45
2020-03-28,
2020-03-29,
2020-03-30,91.56
2020-03-31,94.17
2020-04-01,83.5
2020-04-02,86.37
2020-04-03,85.72
2020-04-04,
2020-04-05,
2020-04-06,91.24
2020-04-07,94.94
2020-04-08,103.67
2020-04-09,102.82
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,100.64
2020-04-14,105.82
2020-04-15,102.59
2020-04-16,101.85
2020-04-17,110.47
2020-04-18,
2020-04-19,
2020-04-20,109.0
2020-04-21,104.47
2020-04-22,101.79
2020-04-23,105.27
2020-04-24,108.49
2020-04-25,
2020-04-26,
2020-04-27,109.46
