Date,Close
2020-01-01,
2020-01-02,45.46
2020-01-03,44.88
2020-01-04,
2020-01-05,
2020-01-06,43.14
2020-01-07,44.76
2020-01-08,47.51
2020-01-09,49.68
2020-01-10,47.66
2020-01-11,
2020-01-12,
2020-01-13,49.99
2020-01-14,50.53
2020-01-15,49.91
2020-01-16,51.92
2020-01-17,57.14
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,57.88
2020-01-22,58.73
2020-01-23,62.06
2020-01-24,62.48
2020-01-25,
2020-01-26,
2020-01-27,57.84
2020-01-28,54.36
2020-01-29,54.2
2020-01-30,51.53
2020-01-31,53.93
2020-02-01,
2020-02-02,
2020-02-03,52.77
2020-02-04,52.93
2020-02-05,52.66
2020-02-06,53.35
2020-02-07,50.68
2020-02-08,
2020-02-09,
2020-02-10,51.3
2020-02-11,52.93
2020-02-12,57.72
2020-02-13,54.13
2020-02-14,54.28
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,52.96
2020-02-19,52.58
2020-02-20,55.09
2020-02-21,53.7
2020-02-22,
2020-02-23,
2020-02-24,50.57
2020-02-25,49.71
2020-02-26,50.57
2020-02-27,50.64
2020-02-28,54.94
2020-02-29,
2020-03-01,
2020-03-02,53.66
2020-03-03,52.07
2020-03-04,53.39
2020-03-05,51.77
2020-03-06,51.22
2020-03-07,
2020-03-08,
2020-03-09,50.45
2020-03-10,51.84
2020-03-11,54.16
2020-03-12,50.91
2020-03-13,54.16
2020-03-14,
2020-03-15,
2020-03-16,48.24
2020-03-17,51.18
2020-03-18,51.77
2020-03-19,52.27
2020-03-20,50.3
2020-03-21,
2020-03-22,
2020-03-23,49.37
2020-03-24,54.16
2020-03-25,56.33
2020-03-26,53.31
2020-03-27,53.58
2020-03-28,
2020-03-29,
2020-03-30,51.42
2020-03-31,50.76
2020-04-01,47.43
2020-04-02,49.13
2020-04-03,47.74
2020-04-04,
2020-04-05,
2020-04-06,48.32
2020-04-07,48.4
2020-04-08,48.4
2020-04-09,49.48
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,47.24
2020-04-14,50.14
2020-04-15,50.02
2020-04-16,50.6
2020-04-17,53.85
2020-04-18,
2020-04-19,
2020-04-20,53.27
2020-04-21,48.24
2020-04-22,51.53
2020-04-23,50.45
2020-04-24,47.82
2020-04-25,
2020-04-26,
2020-04-27,48.71
2020-04-28,47.63
2020-04-29,48.17
2020-04-30,48.82
2020-05-01,47.9
2020-05-02,
2020-05-03,
2020-05-04,46.31
2020-05-05,47.32
2020-05-06,50.3
2020-05-07,49.56
2020-05-08,52.23
2020-05-09,
2020-05-10,
2020-05-11,50.53
2020-05-12,46.16
2020-05-13,42.09
2020-05-14,40.78
2020-05-15,40.47
2020-05-16,
2020-05-17,
2020-05-18,39.77
2020-05-19,39.42
2020-05-20,38.96
2020-05-21,40.78
2020-05-22,37.14
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,36.29
2020-05-27,36.41
2020-05-28,35.21
2020-05-29,36.37
2020-05-30,
2020-05-31,
2020-06-01,36.29
2020-06-02,36.37
2020-06-03,37.22
2020-06-04,36.44
2020-06-05,39.0
2020-06-06,
2020-06-07,
2020-06-08,41.4
2020-06-09,41.78
2020-06-10,40.7
2020-06-11,40.58
2020-06-12,40.47
2020-06-13,
2020-06-14,
2020-06-15,41.47
2020-06-16,41.4
2020-06-17,43.25
2020-06-18,42.63
2020-06-19,44.38
2020-06-20,
2020-06-21,
2020-06-22,43.87
2020-06-23,44.3
2020-06-24,42.44
2020-06-25,43.49
2020-06-26,45.46
2020-06-27,
2020-06-28,
2020-06-29,48.17
2020-06-30,47.82
2020-07-01,52.0
2020-07-02,57.53
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,63.1
2020-07-07,59.27
2020-07-08,65.23
2020-07-09,69.14
2020-07-10,66.7
2020-07-11,
2020-07-12,
2020-07-13,64.61
2020-07-14,60.32
2020-07-15,62.68
2020-07-16,61.59
2020-07-17,61.13
2020-07-18,
2020-07-19,
2020-07-20,61.44
2020-07-21,59.89
2020-07-22,54.74
2020-07-23,54.51
2020-07-24,51.92
2020-07-25,
2020-07-26,
2020-07-27,51.8
2020-07-28,50.68
2020-07-29,52.31
2020-07-30,52.77
2020-07-31,52.54
2020-08-01,
2020-08-02,
2020-08-03,47.7
2020-08-04,48.59
2020-08-05,48.55
2020-08-06,50.14
2020-08-07,43.91
2020-08-08,
2020-08-09,
2020-08-10,47.24
2020-08-11,52.07
2020-08-12,53.2
2020-08-13,56.45
2020-08-14,56.49
2020-08-15,
2020-08-16,
2020-08-17,56.56
2020-08-18,51.65
2020-08-19,50.3
2020-08-20,52.69
2020-08-21,51.57
2020-08-22,
2020-08-23,
2020-08-24,51.92
2020-08-25,52.27
2020-08-26,51.3
2020-08-27,49.6
2020-08-28,49.48
2020-08-29,
2020-08-30,
2020-08-31,48.82
2020-09-01,47.7
2020-09-02,48.21
2020-09-03,47.9
2020-09-04,48.01
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,48.48
2020-09-09,47.51
2020-09-10,46.77
2020-09-11,47.24
2020-09-12,
2020-09-13,
2020-09-14,51.88
2020-09-15,51.22
2020-09-16,53.78
2020-09-17,54.16
2020-09-18,53.24
2020-09-19,
2020-09-20,
2020-09-21,51.07
2020-09-22,49.83
2020-09-23,49.52
2020-09-24,48.55
2020-09-25,49.17
2020-09-26,
2020-09-27,
2020-09-28,48.13
2020-09-29,49.64
2020-09-30,49.71
2020-10-01,51.69
2020-10-02,49.17
2020-10-03,
2020-10-04,
2020-10-05,49.75
2020-10-06,48.4
2020-10-07,48.01
2020-10-08,49.1
2020-10-09,52.81
2020-10-10,
2020-10-11,
2020-10-12,50.49
2020-10-13,49.64
2020-10-14,48.67
2020-10-15,47.16
2020-10-16,47.47
2020-10-17,
2020-10-18,
2020-10-19,45.85
2020-10-20,46.27
2020-10-21,46.08
2020-10-22,45.27
2020-10-23,45.15
2020-10-24,
2020-10-25,
2020-10-26,44.96
2020-10-27,45.61
2020-10-28,44.22
2020-10-29,45.92
2020-10-30,45.19
2020-10-31,
2020-11-01,
2020-11-02,45.73
2020-11-03,46.23
2020-11-04,47.43
2020-11-05,47.7
2020-11-06,49.37
2020-11-07,
2020-11-08,
2020-11-09,49.29
2020-11-10,47.82
2020-11-11,48.94
2020-11-12,49.41
2020-11-13,51.49
2020-11-14,
2020-11-15,
2020-11-16,51.73
2020-11-17,56.14
2020-11-18,55.05
2020-11-19,58.88
2020-11-20,56.99
2020-11-21,
2020-11-22,
2020-11-23,52.66
2020-11-24,50.53
2020-11-25,48.24
2020-11-26,
2020-11-27,47.66
2020-11-28,
2020-11-29,
2020-11-30,48.21
