Date,Close
2024-01-01,
2024-01-02,192.76
2024-01-03,189.19
2024-01-04,190.28
2024-01-05,191.07
2024-01-06,
2024-01-07,
2024-01-08,192.35
2024-01-09,192.14
2024-01-10,194.92
2024-01-11,192.9
2024-01-12,195.08
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,189.25
2024-01-17,187.2
2024-01-18,187.23
2024-01-19,185.15
2024-01-20,
2024-01-21,
2024-01-22,187.92
2024-01-23,184.87
2024-01-24,182.88
2024-01-25,184.1
2024-01-26,188.23
2024-01-27,
2024-01-28,
2024-01-29,189.45
2024-01-30,188.14
2024-01-31,184.59
2024-02-01,185.89
2024-02-02,185.79
2024-02-03,
2024-02-04,
2024-02-05,186.91
2024-02-06,192.77
2024-02-07,193.71
2024-02-08,192.39
2024-02-09,193.93
2024-02-10,
2024-02-11,
2024-02-12,193.31
2024-02-13,180.34
2024-02-14,180.92
2024-02-15,186.39
2024-02-16,185.16
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,183.35
2024-02-21,185.15
2024-02-22,193.28
2024-02-23,193.82
2024-02-24,
2024-02-25,
2024-02-26,193.66
2024-02-27,195.58
2024-02-28,196.51
2024-02-29,194.93
2024-03-01,187.54
2024-03-02,
2024-03-03,
2024-03-04,184.64
2024-03-05,182.05
2024-03-06,180.38
2024-03-07,178.39
2024-03-08,179.03
2024-03-09,
2024-03-10,
2024-03-11,180.34
2024-03-12,178.24
2024-03-13,173.2
2024-03-14,170.9
2024-03-15,169.61
2024-03-16,
2024-03-17,
2024-03-18,167.76
2024-03-19,169.99
2024-03-20,168.05
2024-03-21,165.43
2024-03-22,166.0
2024-03-23,
2024-03-24,
2024-03-25,164.93
2024-03-26,162.83
2024-03-27,165.62
2024-03-28,166.31
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,164.15
2024-04-02,162.18
2024-04-03,160.17
2024-04-04,162.68
2024-04-05,163.01
2024-04-06,
2024-04-07,
2024-04-08,162.85
2024-04-09,164.27
2024-04-10,160.4
2024-04-11,159.94
2024-04-12,147.41
2024-04-13,
2024-04-14,
2024-04-15,147.2
2024-04-16,150.39
2024-04-17,149.33
2024-04-18,150.91
2024-04-19,144.4
2024-04-20,
2024-04-21,
2024-04-22,143.45
2024-04-23,147.41
2024-04-24,148.71
2024-04-25,151.16
2024-04-26,156.14
2024-04-27,
2024-04-28,
2024-04-29,157.41
2024-04-30,156.95
2024-05-01,156.22
2024-05-02,164.83
2024-05-03,164.67
2024-05-04,
2024-05-05,
2024-05-06,163.57
2024-05-07,166.03
2024-05-08,162.55
2024-05-09,165.71
2024-05-10,166.61
2024-05-11,
2024-05-12,
2024-05-13,165.5
2024-05-14,166.44
2024-05-15,170.79
2024-05-16,171.21
2024-05-17,171.56
2024-05-18,
2024-05-19,
2024-05-20,171.89
2024-05-21,170.31
2024-05-22,169.58
2024-05-23,168.45
2024-05-24,167.63
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,168.84
2024-05-29,168.35
2024-05-30,167.01
2024-05-31,167.12
2024-06-01,
2024-06-02,
2024-06-03,169.89
2024-06-04,169.41
2024-06-05,173.29
2024-06-06,174.24
2024-06-07,174.38
2024-06-08,
2024-06-09,
2024-06-10,176.26
2024-06-11,175.98
2024-06-12,173.32
2024-06-13,168.86
2024-06-14,168.1
2024-06-15,
2024-06-16,
2024-06-17,168.45
2024-06-18,167.22
2024-06-19,
2024-06-20,165.76
2024-06-21,168.63
2024-06-22,
2024-06-23,
2024-06-24,169.37
2024-06-25,165.57
2024-06-26,168.45
2024-06-27,173.93
2024-06-28,170.87
2024-06-29,
2024-06-30,
2024-07-01,170.1
2024-07-02,172.3
2024-07-03,173.08
2024-07-04,
2024-07-05,172.45
2024-07-06,
2024-07-07,
2024-07-08,172.91
2024-07-09,171.74
2024-07-10,171.0
2024-07-11,175.19
2024-07-12,176.47
2024-07-13,
2024-07-14,
2024-07-15,175.42
2024-07-16,180.28
2024-07-17,179.44
2024-07-18,177.08
2024-07-19,176.43
2024-07-20,
2024-07-21,
2024-07-22,178.59
2024-07-23,177.22
2024-07-24,177.5
2024-07-25,178.59
2024-07-26,177.68
2024-07-27,
2024-07-28,
2024-07-29,179.64
2024-07-30,179.64
2024-07-31,177.88
2024-08-01,180.23
2024-08-02,178.42
2024-08-03,
2024-08-04,
2024-08-05,172.72
2024-08-06,183.06
2024-08-07,182.55
2024-08-08,186.04
2024-08-09,183.02
2024-08-10,
2024-08-11,
2024-08-12,181.6
2024-08-13,186.12
2024-08-14,181.18
2024-08-15,181.87
2024-08-16,181.5
2024-08-17,
2024-08-18,
2024-08-19,182.26
2024-08-20,181.39
2024-08-21,180.7
2024-08-22,179.98
2024-08-23,178.73
2024-08-24,
2024-08-25,
2024-08-26,179.38
2024-08-27,179.91
2024-08-28,180.71
2024-08-29,180.69
2024-08-30,181.28
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,181.36
2024-09-04,185.08
2024-09-05,184.35
2024-09-06,186.96
2024-09-07,
2024-09-08,
2024-09-09,189.43
2024-09-10,189.06
2024-09-11,187.71
2024-09-12,188.42
2024-09-13,188.79
2024-09-14,
2024-09-15,
2024-09-16,191.92
2024-09-17,193.36
2024-09-18,194.12
2024-09-19,190.92
2024-09-20,190.32
2024-09-21,
2024-09-22,
2024-09-23,191.26
2024-09-24,191.36
2024-09-25,189.23
2024-09-26,192.53
2024-09-27,192.47
2024-09-28,
2024-09-29,
2024-09-30,193.03
2024-10-01,192.08
2024-10-02,190.15
2024-10-03,188.69
2024-10-04,187.75
2024-10-05,
2024-10-06,
2024-10-07,185.03
2024-10-08,185.12
2024-10-09,187.88
2024-10-10,187.99
2024-10-11,187.8
2024-10-12,
2024-10-13,
2024-10-14,190.33
2024-10-15,190.08
2024-10-16,192.1
2024-10-17,188.7
2024-10-18,190.96
2024-10-19,
2024-10-20,
2024-10-21,187.17
2024-10-22,187.23
2024-10-23,186.72
2024-10-24,179.32
2024-10-25,177.85
2024-10-26,
2024-10-27,
2024-10-28,180.56
2024-10-29,179.09
2024-10-30,180.54
2024-10-31,177.05
2024-11-01,180.19
2024-11-02,
2024-11-03,
2024-11-04,173.48
2024-11-05,173.57
2024-11-06,168.72
2024-11-07,172.56
2024-11-08,175.11
2024-11-09,
2024-11-10,
2024-11-11,174.45
2024-11-12,172.28
2024-11-13,175.33
2024-11-14,172.94
2024-11-15,173.44
2024-11-16,
2024-11-17,
2024-11-18,174.71
2024-11-19,173.86
2024-11-20,173.97
2024-11-21,175.0
2024-11-22,175.25
2024-11-23,
2024-11-24,
2024-11-25,176.98
2024-11-26,174.0
2024-11-27,175.03
2024-11-28,
2024-11-29,173.55
2024-11-30,
2024-12-01,
2024-12-02,175.1
2024-12-03,175.23
2024-12-04,173.62
2024-12-05,173.08
2024-12-06,174.75
2024-12-07,
2024-12-08,
2024-12-09,176.43
2024-12-10,175.0
2024-12-11,175.46
2024-12-12,177.11
2024-12-13,176.46
2024-12-14,
2024-12-15,
2024-12-16,174.11
2024-12-17,169.14
2024-12-18,165.39
2024-12-19,161.94
2024-12-20,163.24
2024-12-21,
2024-12-22,
2024-12-23,162.69
2024-12-24,163.11
2024-12-25,
2024-12-26,163.92
2024-12-27,163.01
2024-12-28,
2024-12-29,
2024-12-30,160.67
2024-12-31,161.35
2025-01-01,
2025-01-02,161.04
2025-01-03,161.73
2025-01-04,
2025-01-05,
2025-01-06,164.29
2025-01-07,161.91
2025-01-08,163.42
2025-01-09,
2025-01-10,161.74
2025-01-11,
2025-01-12,
2025-01-13,164.71
2025-01-14,162.82
2025-01-15,165.55
2025-01-16,167.73
2025-01-17,164.28
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,166.41
2025-01-22,165.52
2025-01-23,165.84
2025-01-24,167.48
2025-01-25,
2025-01-26,
2025-01-27,171.87
2025-01-28,169.28
2025-01-29,169.08
2025-01-30,171.56
2025-01-31,169.76
2025-02-01,
2025-02-02,
2025-02-03,170.79
2025-02-04,171.09
2025-02-05,174.5
2025-02-06,172.96
2025-02-07,170.28
2025-02-08,
2025-02-09,
2025-02-10,170.76
2025-02-11,173.12
2025-02-12,172.72
2025-02-13,163.83
2025-02-14,156.47
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,155.43
2025-02-19,155.59
2025-02-20,156.37
2025-02-21,159.39
2025-02-22,
2025-02-23,
2025-02-24,164.2
2025-02-25,167.4
2025-02-26,163.89
2025-02-27,163.88
2025-02-28,166.12
2025-03-01,
2025-03-02,
2025-03-03,169.39
2025-03-04,168.76
2025-03-05,165.88
2025-03-06,166.13
2025-03-07,169.23
2025-03-08,
2025-03-09,
2025-03-10,170.65
2025-03-11,163.29
2025-03-12,160.6
2025-03-13,158.99
2025-03-14,160.18
2025-03-15,
2025-03-16,
2025-03-17,164.07
2025-03-18,163.33
2025-03-19,162.66
2025-03-20,162.07
2025-03-21,161.94
2025-03-22,
2025-03-23,
2025-03-24,162.08
2025-03-25,160.22
2025-03-26,161.73
2025-03-27,163.92
2025-03-28,162.02
2025-03-29,
2025-03-30,
2025-03-31,163.55
2025-04-01,160.83
2025-04-02,162.41
2025-04-03,158.54
2025-04-04,150.72
2025-04-05,
2025-04-06,
2025-04-07,148.1
2025-04-08,143.44
2025-04-09,152.52
2025-04-10,146.02
2025-04-11,148.44
2025-04-12,
2025-04-13,
2025-04-14,149.82
2025-04-15,148.22
2025-04-16,145.78
2025-04-17,147.68
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,146.36
2025-04-22,149.49
2025-04-23,150.41
2025-04-24,151.79
2025-04-25,152.96
2025-04-26,
2025-04-27,
2025-04-28,153.06
2025-04-29,154.91
2025-04-30,155.88
2025-05-01,155.13
2025-05-02,156.92
2025-05-03,
2025-05-04,
2025-05-05,157.53
2025-05-06,149.37
2025-05-07,155.47
2025-05-08,161.15
2025-05-09,158.74
2025-05-10,
2025-05-11,
2025-05-12,161.38
2025-05-13,159.88
2025-05-14,154.4
2025-05-15,159.82
2025-05-16,162.5
2025-05-17,
2025-05-18,
2025-05-19,163.39
2025-05-20,163.1
2025-05-21,160.9
2025-05-22,161.43
2025-05-23,162.04
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,165.71
2025-05-28,164.85
2025-05-29,166.58
2025-05-30,168.07
2025-05-31,
2025-06-01,
2025-06-02,168.86
2025-06-03,169.73
2025-06-04,168.03
2025-06-05,168.05
2025-06-06,169.59
2025-06-07,
2025-06-08,
2025-06-09,164.06
2025-06-10,166.54
2025-06-11,165.78
2025-06-12,168.26
2025-06-13,163.78
2025-06-14,
2025-06-15,
2025-06-16,163.83
2025-06-17,161.13
2025-06-18,154.54
2025-06-19,
2025-06-20,156.65
2025-06-21,
2025-06-22,
2025-06-23,156.82
2025-06-24,157.24
2025-06-25,156.71
2025-06-26,155.27
2025-06-27,155.65
2025-06-28,
2025-06-29,
2025-06-30,155.43
2025-07-01,158.66
2025-07-02,158.55
2025-07-03,158.65
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,156.53
2025-07-08,157.27
2025-07-09,157.74
2025-07-10,158.27
2025-07-11,154.44
2025-07-12,
2025-07-13,
